Manjeshwar,237875,9,6.7
Pavoor,4798,13,9.0
Vorkady,8787,8,6.4
Pathur,6383,2,13.8
Kodalamogaru,5788,19,11.7
Koliyoor,2743,15,14.1
Kaliyoor,2323,16,3.2
Talikala,1847,5,0.1
Meenja,4144,19,5.0
Kadambar,2616,18,2.4
Moodambail,4779,13,5.3
Kuloor,3381,17,4.3
Majibail,1485,4,6.3
Badaje,8170,15,10.5
Mulinja,3841,15,11.2
Kodibail,3614,2,10.1
Ichilangod,4148,8,4.3
Heroor,3195,8,9.5
Kubanoor,2178,4,6.8
Bekoor,1856,5,1.6
Kayyar,4268,9,5.4
Kudalmarkala,7081,3,7.6
Paivalike,9034,5,6.7
Chippar,2834,20,6.4
Bayar,11057,13,7.4
Badoor,5536,15,10.5
Angadimogaru,2552,16,3.2
Mugu,2951,12,9.1
Maire,5080,20,4.1
Enmakaje,12697,12,2.2
Kattukukke,3955,9,2.7
Padre,5092,7,10.0
Badiyadka,10694,8,1.4
Nirchal,12369,7,3.8
Bela,11144,8,4.3
Puthige,5441,11,7.0
Edanad,2922,13,9.4
Kannur,2421,1,3.1
Kidoor,2569,19,11.6
Ujarulvar,1328,5,9.5
Bombrana,3759,6,10.9
Arikady,8001,15,2.8
Ichilampady,4001,15,9.0
Ubrangala,3611,11,11.0
Kumbadaje,11161,3,3.1
Nettanige,6305,3,4.9
Bellur,3936,12,9.4
Kasaragod,208968,13,6.2
Patla,5481,17,1.6
Kalnad,18029,3,8.8
Payyannur,179741,18,9.5
Ramanthali,25711,5,5.8
Peralam,7607,14,9.7
Kankole,10665,15,11.5
Alapadamba,8660,18,12.1
Eramam,9448,18,13.1
Perinthatta,5416,10,0.1
Kuttoor,8143,18,8.6
Vellora,10239,4,14.9
Peringome,16721,14,7.4
Vayakkara,18687,4,14.0
Pulingome,10672,14,9.4
Thirumeni,8611,9,0.7
Panapuzha,11355,6,1.0
Mattool,27806,14,13.9
Taliparamba,187567,3,3.2
Thimiri,18044,19,5.3
Alakode,33173,7,10.5
Vellad,25875,17,10.3
New Naduvil,20369,10,10.9
Kooveri,19033,5,5.1
Panniyoor,12382,1,1.8
Kuttiyeri,12473,19,14.0
Pattuvam,15659,3,7.0
Chuzhali,14759,7,0.8
Chengalai,15800,8,8.8
Irikkur,159443,16,10.2
Nediyanga,15859,15,10.4
Eruvassy,19216,4,10.3
Payyavoor,22998,5,2.0
Nuchiyad,12686,12,4.0
Vayathur,22743,3,11.2
Padiyoor,12114,4,3.1
Kalliad,9410,17,14.6
Sreekandapuram,17630,4,2.4
Malapattam,9628,9,4.0
Kayaralam,17159,13,14.7
Kannur,0,12,5.3
Edakkad,0,13,9.7
Iritty,149915,12,14.4
Pattannur,15003,11,0.7
Chavassery,22480,8,9.9
Keezhur,16597,4,4.4
Payam,15429,8,9.5
Vilamana,14059,16,5.6
Ayyankunnu,22436,5,7.2
Aralam,29328,6,12.5
Thillenkeri,14583,7,5.2
Peravoor,136313,17,4.4
Kottiyoor,16698,20,12.1
Mananthavady,260544,9,9.5
Thirunelly,12878,2,6.3
Thrissilery,16818,9,12.9
Payyampally,13311,13,4.7
Mananthavady,34663,2,0.6
Thavinhal,17840,17,5.0
Periya,11174,18,0.5
Thondernad,11752,17,3.1
Valat,10799,5,11.6
Edavaka,16737,15,10.4
Nalloornad,16928,19,6.4
Cherukottur,11462,5,1.9
Panamaram,12683,15,9.9
Anchukunnu (Part),19069,17,7.8
Porunnanore,22137,2,3.0
Vellamunda,18069,5,12.5
Kanjirangad,11811,6,5.4
Nadavayal (Part),2413,4,8.2
Kalpetta,234439,16,10.2
Anchukunnu (Part),9,14,1.4
Nadavayal (Part),4367,9,3.3
Poothadi (Part),58,12,10.6
Purakkadi (Part),194,17,3.0
Padinharethara,16146,16,4.7
Kuppadithara,9761,7,14.5
Kottathara ,17295,13,9.4
Kaniambetta,29363,13,12.9
Muttil North ,12382,11,8.2
Muttil South (Part),22329,14,9.8
Vengappally,11692,17,6.2
Kavumannam,10106,3,9.0
Thariyode,1653,6,0.7
Achooranam,11998,5,1.1
Pozhuthana,6406,11,3.3
Kunnathidavaka,10309,6,6.0
Chundale,7996,13,3.6
Kottappadi (Part),23384,12,6.6
Thrikkaipatta (Part),8551,3,7.9
Muppainad,22892,18,3.0
Vellarimala,7548,13,2.7
Sulthan Bathery,290857,13,0.2
Nadavayal (Part),9015,14,8.8
Poothadi (Part),14520,3,7.0
Pulpalli,28322,10,10.6
Padichira,28970,20,5.0
Kidanganad,9122,17,1.4
Irulam,21052,14,5.0
Purakkadi (Part),20828,18,0.6
Krishnagiri,12952,11,11.0
Sulthanbathery,23333,16,12.6
Vadakara,28650,10,6.1
Onchiam,28650,7,9.6
Thuneri,57070,18,8.5
Vanimel,25680,10,3.1
Vilangad,3778,6,4.8
Purameri,27612,13,1.8
Kunnummal,139895,18,11.3
Thinoor,5148,18,14.8
Kavilumpara,19212,18,7.3
Kayakkodi,24578,16,5.2
Narippatta,21381,4,3.5
Velom,26738,19,11.9
Kuttiadi,19351,15,4.2
Maruthonkara,23487,15,13.5
Thodannur,14429,2,12.6
Thiruvallur,14429,6,3.4
Melady,23576,19,6.5
Payyoli,23576,8,2.7
Perambra,122773,5,0.0
Cheruvannur,23388,6,7.8
Palery,14680,8,5.3
Changaroth,17427,17,13.3
Chempanoda,5398,17,9.4
Chakkittapara (Part),9932,5,14.6
Perambra,11336,7,4.2
Nochad,26857,7,3.1
Kayanna (Part),13434,12,1.6
Koorachundu (Part),321,7,7.9
Balusseri,116981,11,1.2
Chakkittapara (Part),1831,9,1.9
Kottur,12205,18,14.1
Kayanna (Part),3342,2,1.7
Koorachundu (Part),11981,18,11.4
Kanthalad (Part),9946,5,9.1
Avitanallur,18398,6,0.3
Kinalur,9930,13,11.5
Unnikulam,24912,19,5.7
Sivapuram,24436,10,4.8
Panthalayani,75339,10,6.1
Moodadi,30170,12,0.9
Arikkulam (Part),18378,13,8.5
Chengottukavu,26791,13,14.1
Koduvally,260835,12,14.9
Kanthalad (Part),57,11,2.0
Kizhakkoth,31261,12,9.0
Vavad,14818,20,8.2
Raroth,33286,6,10.1
Kedavur,27273,11,13.0
Puthuppadi,25965,14,3.5
Engapuzha,18244,10,3.7
Areekode,245828,20,9.3
Vettilappara,8696,7,12.8
Cheekkode,22413,13,4.6
Areekode,31563,5,0.7
Urangattiri,31601,9,10.5
Kavanoor,37977,12,2.7
Kuzhimanna,34413,10,5.6
Muthuvallur,36482,3,2.9
Pulpatta,42683,3,8.6
Kondotty,106369,6,13.0
Vazhakkad,35774,4,10.0
Pulikkal,40133,3,13.6
Nediyiruppu,30462,16,12.6
Wandoor,368534,20,7.9
Perakamanna,19696,8,9.5
Edavanna,26432,18,10.8
Karakunnu,16525,19,2.0
Trikkalangode,15112,3,2.5
Elankur,20453,18,11.5
Vettikkattiri,22333,10,14.3
Chembrasseri,14474,3,12.9
Pandikkad,18406,15,11.6
Pullipadam (Part),9740,19,9.6
Mambad,25521,1,2.8
Thiruvali,27734,1,6.1
Porur,29561,19,6.1
